"DCODE","DISTNAME","DISTCOUNTY","CC","AVG.FTE","RNK.FTE","LOCREV","AVG.LOCREV","RNK.LOCREV","STREV","AVG.STREV","RNK.STREV","FEDREV","AVG.FEDREV","RNK.FEDREV","TOTREV","AVG.TOTREV","RNK.TOTREV","BASINS","AVG.BASINS","RNK.BASINS","ADDINS","AVG.ADDINS","RNK.ADDINS","AEINS","AVG.AEINS","RNK.AEINS","ITOT","AVG.ITOT","RNK.ITOT","ISAL","AVG.ISAL","RNK.ISAL","ISSUP","AVG.ISSUP","RNK.ISSUP","ADM","AVG.ADM","RNK.ADM","FACACQ","AVG.FACACQ","RNK.FACACQ","OPNMNT","AVG.OPNMNT","RNK.OPNMNT","TRANS","AVG.TRANS","RNK.TRANS","SSTOT","AVG.SSTOT","RNK.SSTOT","SSSAL","AVG.SSSAL","RNK.SSSAL","COE","AVG.COE","RNK.COE","TOTEXP","AVG.TOTEXP","RNK.TOTEXP","T.SAL","AVG.T.SAL","RNK.T.SAL","HSEV","AVG.HSEV","RNK.HSEV","NHSEV","AVG.NHSEV","RNK.NHSEV","P.TCHR","AVG.P.TCHR","RNK.P.TCH","GROUP","AEPUPILS.A","AEPUPILS.S","YEAR","id"
1010,"ALCONA COMMUNITY SCHOOLS","ALCONA",1,1029,397,4449998.06,4325,51,3063339.28,2977,718,558844.7,543,227,8072182.04,7845,364,3991058.9,3879,237,943494.73,917,302,0,0,0,4934553.63,4795,248,4616118.95,4486,275,232670.56,226,639,1106613.47,1075,346,0,0,0,629988.31,612,670,547225.52,532,52,2516497.86,2446,572,1817481.78,1766,435,7451051.49,7241,407,7706141.55,7489,504,2284806.89,48274,314,8.27995678217812e-316,162865,70,1.12119147535105e-315,220536,42,47.33,22,445,"L",0,0,2004,"20041010"
2010,"AUTRAIN-ONOTA PUBLIC SCHOOLS","ALGER",2,34,720,499506.25,14691,5,37215.29,1095,731,38457.3,1131,81,575178.84,16917,10,237814.52,6995,13,55563.59,1634,38,0,0,0,293378.11,8629,12,281137.6,8269,8,31156.32,916,114,102544.14,3016,13,0,0,0,66987.6,1970,29,65819.33,1936,6,266507.39,7838,8,146535.59,4310,3,559885.5,16467,7,592833.43,17436,10,131265.78,35477,553,7.10147380532193e-317,422751,9,1.23683548927643e-316,736289,6,3.7,9,5,"N",0,0,2004,"20042010"
2020,"BURT TOWNSHIP SCHOOL DISTRICT","ALGER",2,80,709,374615.49,4683,45,240224.22,3003,717,55676.96,696,169,670516.67,8381,217,354057.25,4426,87,56911.02,711,496,493.13,0,0,411461.4,5143,137,379614.02,4745,169,7981.49,100,689,126806.76,1585,175,0,0,0,84999.38,1062,186,35367.61,442,135,255155.24,3189,253,121225.17,1515,527,666616.64,8333,142,698542.87,8732,178,213725.92,43796,444,3.70589698357329e-317,93760,286,9.51860252798091e-317,240823,38,4.88,16,74,"N",0,0,2004,"20042020"
2070,"MUNISING PUBLIC SCHOOLS","ALGER",2,926.86,416,1390187.3,1500,241,5550280.21,5988,507,316085.44,341,389,7295883.01,7872,350,3399757.34,3668,366,689100.9,743,470,0,0,0,4088858.24,4412,446,3827499.41,4130,473,464316.59,501,387,980701.16,1058,364,0,0,0,822911.87,888,293,355129.1,383,230,2623058.72,2830,346,1965648.27,2121,197,6711916.96,7242,405,7419236.05,8005,320,2093516.15,44543,427,2.77797875672015e-316,60664,478,2.96601599137591e-316,64770,224,47,20,256,"M",0,0,2004,"20042070"
2080,"SUPERIOR CENTRAL SCHOOL DISTRICT","ALGER",2,387.29,568,474630.39,1226,298,2442242.43,6306,377,300210.05,775,143,3217082.87,8307,234,1500904.65,3875,238,451716.36,1166,150,0,0,0,1952621.01,5042,164,1849230.01,4775,156,119233.27,308,590,497182.51,1284,240,103965.43,268,1,263151.94,679,580,212078.34,548,44,1091646.06,2819,354,684436.42,1767,434,3044267.07,7860,224,3119201.67,8054,299,887072.43,36520,541,1.29777502823143e-316,67823,447,9.38671812667699e-317,49056,285,24.29,16,74,"N",0,0,2004,"20042080"
3010,"PLAINWELL COMMUNITY SCHOOLS","ALLEGAN",3,2841.53,168,2852265.55,1004,359,17213910.77,6058,488,330467.31,116,686,20507601.62,7217,657,10483930.12,3690,349,1987679.84,700,505,28974.81,0,0,12500584.77,4399,453,12016995.08,4229,413,1709310.91,602,299,2242397.95,789,654,0,0,0,2328414.26,819,372,641303.21,226,496,6921426.33,2436,582,5238198.48,1843,390,19422011.1,6835,593,20738806.9,7298,588,6750748.39,50424,244,1.30055594588824e-315,92639,292,5.34936371659896e-316,38104,351,133.88,21,348,"I",0,0,2004,"20043010"
3020,"OTSEGO PUBLIC SCHOOLS","ALLEGAN",3,2265.73,213,2639495.74,1165,324,13777253.67,6081,480,428092.78,189,591,17489391.94,7719,417,8185239.08,3613,410,1590140.07,702,502,59508.46,0,0,9834887.61,4341,488,9436774.27,4165,453,1337014.85,590,314,2101351.51,927,501,0,0,0,1803665.38,796,403,920491.51,406,180,6162523.25,2720,421,4805600.4,2121,197,15997410.86,7061,487,17819899.29,7865,370,5217993.55,46177,387,1.12042314892454e-315,100090,242,5.78864103958907e-316,51711,274,113,20,256,"J",0,0,2004,"20043020"
3030,"ALLEGAN PUBLIC SCHOOLS","ALLEGAN",3,3000.42,155,3489645.53,1163,325,17899467.83,5966,512,782355.83,261,499,22349255.54,7449,544,10203636.29,3401,541,3003999.91,1001,239,69541.1,0,0,13277177.3,4425,439,12629367.92,4209,428,2089690.67,696,232,2382319.39,794,648,0,0,0,2476461.9,825,364,1079117.41,360,279,8027589.37,2675,442,6072488.81,2024,254,21304766.67,7101,469,22307248.34,7435,527,6531046.25,46484,373,1.14780461780367e-315,77429,391,7.57879774031446e-316,51125,276,140.5,21,348,"H",0,0,2004,"20043030"
3040,"WAYLAND UNION SCHOOLS","ALLEGAN",3,3182.94,143,3185117.21,1001,362,19501478.93,6127,468,563136.91,177,609,23276240.05,7313,616,10484042.08,3294,579,2430964.69,764,449,66546.44,0,0,12981553.21,4078,578,12448283.85,3911,539,2117547.82,665,255,2983665.38,937,488,0,0,0,2200133.65,691,561,1578759.75,496,75,8880106.6,2790,370,6739785.48,2117,202,21861659.81,6868,581,22655240.66,7118,660,6273838.23,46148,389,1.45619657481034e-315,92599,293,6.5928418196706e-316,41924,320,135.95,23,552,"H",0,0,2004,"20043040"
3050,"FENNVILLE PUBLIC SCHOOLS","ALLEGAN",3,1461.41,311,1738935.51,1190,316,8928751.52,6110,476,917051.59,628,189,11587940.21,7929,334,5206389.26,3563,434,1582337.75,1083,190,65741.97,0,0,6854468.98,4690,296,6445830.65,4411,323,919444.16,629,284,1432605.65,980,432,0,0,0,1174690.92,804,389,576707.32,395,204,4103448.05,2808,360,2940707.45,2012,263,10957917.03,7498,310,11345388.62,7763,404,3199437.88,46101,391,7.55482498348634e-316,104633,224,4.07369279010995e-316,56420,256,69.4,21,348,"L",0,0,2004,"20043050"
